Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description\
t2,0-0,2,---,2(0-1)\'a0CX,O,ARI,Daniel\'a0Descalso,Clayton\'a0Kershaw,1%,55%,Flyball: LF (Deep LF)\
t3,0-0,0,---,3(0-2)\'a0CCC,O,ARI,Nick\'a0Ahmed,Clayton\'a0Kershaw,3%,53%,Strikeout Looking\
t3,0-0,1,---,2(1-0)\'a0BX,O,ARI,Jeff\'a0Mathis,Clayton\'a0Kershaw,2%,54%,Lineout: LF (Deep LF)\
t3,0-0,2,---,5(2-2)\'a0CSBBC,O,ARI,Zack\'a0Greinke,Clayton\'a0Kershaw,1%,55%,Strikeout Looking\
t4,0-2,0,---,2(0-1)\'a0CX,O,ARI,AJ\'a0Pollock,Clayton\'a0Kershaw,3%,76%,Flyball: RF (Deep CF-RF)\
t4,0-2,1,---,2(0-1)\'a0CX,,ARI,Chris\'a0Owings,Clayton\'a0Kershaw,-3%,73%,Single to CF (Ground Ball thru SS-2B)\
t4,0-2,1,1--,6(3-2)\'a0FBB*B1S>B,,ARI,Paul\'a0Goldschmidt,Clayton\'a0Kershaw,-5%,69%,Walk; Owings to 2B\
t4,0-2,1,12-,3(0-2)\'a0CFB,,ARI,Yasmany\'a0Tom\'e1s,Clayton\'a0Kershaw,-6%,63%,Wild Pitch; Owings to 3B; Goldschmidt to 2B\
t4,0-2,1,-23,4(1-2)\'a0CFB.C,O,ARI,Yasmany\'a0Tom\'e1s,Clayton\'a0Kershaw,9%,72%,Strikeout Looking\
t4,0-2,2,-23,3(1-1)\'a0CBX,O,ARI,Brandon\'a0Drury,Clayton\'a0Kershaw,7%,79%,Groundout: 3B-1B (Weak 3B)\
t5,0-4,0,---,4(1-2)\'a0CSBS,O,ARI,Daniel\'a0Descalso,Clayton\'a0Kershaw,2%,92%,Strikeout Swinging\
t5,0-4,1,---,4(1-2)\'a0BSSC,O,ARI,Nick\'a0Ahmed,Clayton\'a0Kershaw,1%,93%,Strikeout Looking\
t5,0-4,2,---,4(1-2)\'a0CCBX,O,ARI,Jeff\'a0Mathis,Clayton\'a0Kershaw,1%,93%,Groundout: 2B-1B (SS-2B)\
t6,0-5,0,---,4(2-1)\'a0.BBFX,O,ARI,Chris\'a0Herrmann,Clayton\'a0Kershaw,1%,97%,Popfly: SS (Deep SS-3B Hole)\
t6,0-5,1,---,3(1-1)\'a0CBX,O,ARI,AJ\'a0Pollock,Clayton\'a0Kershaw,1%,97%,Groundout: SS-1B\
t6,0-5,2,---,3(0-2)\'a0CCC,O,ARI,Chris\'a0Owings,Clayton\'a0Kershaw,0%,98%,Strikeout Looking\
t7,0-5,0,---,3(1-1)\'a0BFX,O,ARI,Paul\'a0Goldschmidt,Clayton\'a0Kershaw,1%,98%,Popfly: C (Front of Home)\
t7,0-5,1,---,2(1-0)\'a0BX,O,ARI,Yasmany\'a0Tom\'e1s,Clayton\'a0Kershaw,1%,98%,Groundout: SS-1B\
t7,0-5,2,---,4(1-2)\'a0BSCS,O,ARI,Brandon\'a0Drury,Clayton\'a0Kershaw,0%,99%,Strikeout Swinging\
t8,0-5,0,---,2(0-1)\'a0FX,O,ARI,Daniel\'a0Descalso,Clayton\'a0Kershaw,1%,99%,Flyball: LF\
t8,0-5,1,---,3(0-2)\'a0CCX,,ARI,Nick\'a0Ahmed,Clayton\'a0Kershaw,-1%,98%,Single to RF (Ground Ball thru 2B-1B)\
t8,0-5,1,1--,1(0-0)\'a0X,OO,ARI,Jeff\'a0Mathis,Clayton\'a0Kershaw,1%,100%,Ground Ball Double Play: 2B-SS-1B\
t9,0-7,0,---,5(2-2)\'a0.SBSBX,,ARI,Chris\'a0Iannetta,Clayton\'a0Kershaw,0%,100%,Single to LF (Line Drive)\
t9,0-7,0,1--,4(0-2)\'a0CCFC,O,ARI,AJ\'a0Pollock,Clayton\'a0Kershaw,0%,100%,Strikeout Looking\
t9,0-7,1,1--,4(1-2)\'a0BFFX,R,ARI,Chris\'a0Owings,Clayton\'a0Kershaw,0%,100%,Double to CF (Line Drive to Deep CF-RF); Iannetta Scores\
t1,0-0,0,---,7(3-2)\'a0CSBBFBB,,COL,Charlie\'a0Blackmon,Clayton\'a0Kershaw,-4%,46%,Walk\
